mol_name,mol_id,mol_wt,density,molarity,molar_vol,sasa,n_electrons,mol_class,smiles
ADAAMEH,ADAAM,692.19,0.895,1.293,773.39,1106.4942231474,390,extractant,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC
DBP,DMDBP,312.19,0.935,2.994,333.89,510.2162951511969,182,extractant,CCCCN(C)C(=O)C(C(=O)N(C)CCCC)CCCCC
DBTD,DMDBT,438.82,0.908,2.069,483.28,720.7921076563725,246,extractant,CCCCN(C)C(=O)C(C(=O)N(C)CCCC)CCCCCCCCCCCCCC
DOHE,DMDOH,482.88,0.927,1.919,520.91,793.5423191831859,270,extractant,CCCCCCCCN(C)C(=O)C(C(=O)N(C)CCCCCCCC)CCOCCCCCC
T2EHDGA,TEHDG,580.95,0.913,1.571,636.3,922.8012035841398,326,extractant,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC
TODGA,TODGA,580.95,0.904,1.556,642.64,952.3076910698036,326,extractant,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC
BUTANOL,BUTOL,74.123,0.81,10.928,91.51,146.51175574954402,42,modifier,CCCCO
ETHANOL,ETHOL,46.069,0.789,17.126,58.389,96.7592827355946,26,modifier,CCO
HEXANOL,HEXOL,102.177,0.814,7.967,125.525,200.55392053430015,58,modifier,CCCCCCO
METHANOL,METOL,32.042,0.792,24.718,40.457,70.55937266464791,18,modifier,CO
OCTANOL,OCTOL,130.231,0.824,6.327,158.047,245.72279226298372,74,modifier,CCCCCCCCO
PROPANOL,PRPOL,60.096,0.803,13.362,74.839,119.51896093452244,34,modifier,CCCO
H2O,TIP4P,18.015,0.998,55.398,18.051,41.46867038587046,10,solute,O
BENZENE,BENZE,78.114,0.876,11.214,89.171,125.9543449898754,42,solvent,c1ccccc1
CYCLOHEXANE,CYHEX,84.16,0.779,9.256,108.03,162.20784432144666,48,solvent,C1CCCCC1
DECANE,DECAN,142.28,0.725,5.095,196.24,279.59426750698134,82,solvent,CCCCCCCCCC
DODECANE,NDODE,170.33,0.75,4.403,227.1,335.4101838381401,98,solvent,CCCCCCCCCCCC
HEPTANE,HEPTA,100.2,0.68,6.786,147.35,213.77379455842348,58,solvent,CCCCCCC
HEXANE,HEXAN,86.18,0.655,7.6,131.57,182.20927417096817,50,solvent,CCCCCC
OCTANE,OCTAN,114.23,0.703,6.154,162.48,240.4674796124326,66,solvent,CCCCCCCC
TETRADECANE,TDECA,198.39,0.762,3.841,260.35,372.12184720554984,114,solvent,CCCCCCCCCCCCCC
TOLUENE,TOLUE,92.141,0.867,9.409,106.276,151.70792961944525,50,solvent,Cc1ccccc1
ACETONITRILE,ACENI,41.053,0.786,19.146,52.23,74.019,22,solvent,CC#N
THF,THF,72.107,0.888,12.315,81.202,126.365,40,solvent,C1CCOC1
