names,SMILES,m,sigma,epsilon_k,mu,kappa_ab,epsilon_k_ab
water,O,2.36948,2.15072,230.71557,1.85,0.35319,2195.10176
acetaldehyde,CC=O,2.338056564,3.132370472,243.8458099,1.87597239,0,0
acetamide,CC(=N)O,3.892183542,2.757996082,318.6954041,0,0.004286036,2361.576904
acetonitrile,CC#N,2.667169571,2.982950687,266.1405945,2.502349377,0,0
propan-2-one,CC(C)=O,2.641650677,3.305998087,251.7420197,2.243631124,0,0
"ethane-1,2-diamine",NCCN,3.110309601,3.109676361,282.9180908,0,0.004050558,1578.14502
"1,2-dibromoethane",BrCCBr,3.344954967,3.344900608,277.4945679,0,0,0
bromoethane,CCBr,2.524352074,3.375315189,244.7373505,2.012849808,0,0
"ethane-1,2-diol",OCCO,3.64358449,2.829493999,319.0292969,0,0.005453555,2099.692383
iodoethane,CCI,2.720712662,3.487421274,257.2559814,2.174363852,0,0
ethanol,CCO,2.723507404,3.07085371,259.5016479,0,0.004678319,2047.119629
ethoxyethane,CCOCC,2.611921549,3.657092571,232.8567963,2.079033136,0,0
oxirane,C1CO1,2.286058187,3.152002096,238.5787659,1.760578275,0,0
prop-2-en-1-ol,C=CCO,2.88060236,3.278053999,263.3263855,0,0.00422227,2136.768799
formic acid,O=CO,2.645675659,2.846236706,304.9515686,0,0.004776761,1328.903931
ethyl formate,CCOC=O,2.793517351,3.309753418,242.7288666,2.183209658,0,0
aniline,Nc1ccccc1,3.528380632,3.357946396,304.7635803,0,0.003128481,1788.337891
anisole,COc1ccccc1,3.562817574,3.488070965,276.3882141,2.614696503,0,0
2-methylpyridine,Cc1ccccn1,3.422996521,3.424880981,266.5541382,2.479895353,0,0
"2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",CC1=CCC2CC1C2(C)C,3.8574965,3.805584669,260.8537598,0,0,0
ethyl acetate,CCOC(C)=O,2.989230394,3.501050472,247.3352356,2.44987154,0,0
butan-2-ol,CCC(C)O,2.915697575,3.518035412,253.9805756,0,0.004184935,2294.682617
"butane-2,3-diol",CC(O)C(C)O,3.631186724,3.290520191,294.0072021,0,0.004490202,2287.656982
phenylmethanol,OCc1ccccc1,3.648694992,3.518244982,300.1119385,0,0.004027084,2473.306885
ethylbenzene,CCc1ccccc1,3.448817492,3.632678986,270.1259766,0,0,0
bromobenzene,Brc1ccccc1,3.41317606,3.591964245,283.6773376,2.608912945,0,0
chlorobenzene,Clc1ccccc1,3.261186123,3.518952131,274.9029541,2.493377209,0,0
"1,4-dichlorobenzene",Clc1ccc(Cl)cc1,3.828008652,3.392122269,282.9916992,0.126574948,0,0
benzonitrile,N#Cc1ccccc1,3.920539856,3.336357594,283.7498779,3.110853672,0,12.68527508
nitrobenzene,O=[N+]([O-])c1ccccc1,4.058799744,3.333569765,291.6930237,3.134421349,0,12.86218643
benzene,c1ccccc1,2.891816854,3.447061062,262.2025757,0,0,0
formonitrile,C#N,2.375910521,2.774166584,243.6947174,1.945104957,0,15.07266331
"6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane",C=C1CCC2CC1C2(C)C,3.920467615,3.776597023,262.5012512,0,0,0
1-bromobutane,CCCCBr,3.1577034,3.59372139,254.3242493,2.502193451,0,0
2-butoxyethanol,CCCCOCCO,3.339944363,3.836905956,292.4647522,0,0.003872674,1984.741943
butan-1-ol,CCCCO,3.140383005,3.432247639,256.0797119,0,0.004223318,2444.189697
butan-2-one,CCC(C)=O,2.91985321,3.418281555,253.5805664,2.458878756,0,0
butane,CCCC,2.305804968,3.727724314,225.0566101,0,0,0
"(z)-1,2-dichloroethene",Cl/C=C\Cl,2.815183878,3.349583149,252.382782,0.93231231,0,0
2-chloroethanol,OCCCl,3.241531372,3.019555092,274.0686035,0,0.004382503,2130.639404
1-chloro-2-methylpropane,CC(C)CCl,2.838656187,3.643490076,247.1733856,2.185656786,0,0
n-butan-2-ylidenehydroxylamine,CCC(C)=NO,3.402698517,3.454574347,276.8656616,0,0.003510957,2314.56543
1-chlorobutane,CCCCCl,2.985211611,3.55858922,248.2999878,2.331435204,0,0
chloroform,ClC(Cl)Cl,2.703759193,3.381353378,253.9816284,2.027735472,0,0
3-methylphenol,Cc1cccc(O)c1,3.588730335,3.567914486,302.2660522,0,0.003580187,2295.435303
cyclohexane,C1CCCCC1,2.949970722,3.637574911,255.2077942,0,0,0
cyclopentane,C1CCCC1,2.674009562,3.594033241,246.4170685,0,0,0
cyclohexene,C1=CCCCC1,3.057407141,3.533583879,252.8394012,0,0,0
methylcyclohexane,CC1CCCCC1,3.17127943,3.773720264,256.0189209,0,0,0
2-methylcyclohexan-1-one,CC1CCCCC1=O,3.794173479,3.540363312,268.429657,3.002504587,0,0
methylcyclopentane,CC1CCCC1,2.838614225,3.764353275,250.9676208,0,0,0
1-chloro-2-(2-chloroethoxy)ethane,ClCCOCCCl,3.738413334,3.453897953,290.6722717,0.334761053,0,0
1-butoxybutane,CCCCOCCCC,3.77912569,3.953320742,251.5400085,2.852125406,0,0
3-methylbutyl formate,CC(C)CCOC=O,3.490373611,3.691908121,254.7460327,2.770351171,0,0
decane,CCCCCCCCCC,4.34663868,3.951843977,253.550293,0,0,0
n-ethylethanamine,CCNCC,2.729165077,3.641182184,244.4945831,0,0.002654965,1368.006348
"butane-2,3-dione",CC(=O)C(C)=O,2.903409481,3.316833973,263.5961304,2.387810946,0,0
"n,n-dimethylaniline",CN(C)c1ccccc1,3.763510704,3.569363594,294.844696,2.656293392,0,12.44538689
"1,2-dibromopropane",CC(Br)CBr,3.511134624,3.47272253,273.1273499,0.120215774,0,0
1-(1-butoxyethoxy)butane,CCCCOC(C)OCCCC,4.29604578,4.01416111,265.651825,0.140852362,0,0
"1,1-dichloroethane",CC(Cl)Cl,2.684751034,3.358576298,250.9473572,2.122497559,0,0
"1,2-dichloroethane",ClCCCl,2.969729185,3.283655167,264.4819031,0,0,0
