sample,D,extractant,abbreviation,[extracant]_M,org_ligand,[org_ligand]_M,organic_diluent,acid,[acid]_M,T_K,contact_time,contact_time_units,additional_info
Am(III),2.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.2,294.15,10,min,
Am(III),5.01,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.5,toluene,HNO3,0.2,294.15,10,min,
Am(III),8.91,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.8,toluene,HNO3,0.2,294.15,10,min,
Am(III),10.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,1.0,toluene,HNO3,0.2,294.15,10,min,
Eu(III),0.006,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.1,toluene,HNO3,0.2,294.15,10,min,
Eu(III),0.06,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.2,294.15,10,min,
Eu(III),0.56,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.5,toluene,HNO3,0.2,294.15,10,min,
Eu(III),2.24,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.8,toluene,HNO3,0.2,294.15,10,min,
Eu(III),4.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,1.0,toluene,HNO3,0.2,294.15,10,min,
Ce(III),30.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.01,294.15,10,min,
Nd(III),10.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.01,294.15,10,min,
Pr(III),20.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.01,294.15,10,min,
Ce(III),4.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.05,294.15,10,min,
Nd(III),1.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.05,294.15,10,min,
Pr(III),2.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.05,294.15,10,min,
Ce(III),0.8,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.1,294.15,10,min,
Nd(III),0.4,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.1,294.15,10,min,
Pr(III),0.5,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.1,294.15,10,min,
Ce(III),0.1,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.2,294.15,10,min,
Nd(III),0.04,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.2,294.15,10,min,
Pr(III),0.04,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.2,294.15,10,min,
Ce(III),0.01,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.4,294.15,10,min,
Nd(III),0.006,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.4,294.15,10,min,
Pr(III),0.006,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.4,294.15,10,min,
Am(III),2.13,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.2,294.15,10,min,
Eu(III),0.068,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.2,294.15,10,min,
Am(III),0.19,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.4,294.15,10,min,
Eu(III),0.0068,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.4,294.15,10,min,
Am(III),152.25,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TOPO,0.25,toluene,HNO3,0.2,294.15,10,min,
Eu(III),5.46,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TOPO,0.25,toluene,HNO3,0.2,294.15,10,min,
Am(III),15.85,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TOPO,0.25,toluene,HNO3,0.4,294.15,10,min,
Eu(III),0.632,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TOPO,0.25,toluene,HNO3,0.4,294.15,10,min,
Am(III),200.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TOPO,0.25,toluene,HNO3,0.2,294.15,10,min,
Am(III),15.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TOPO,0.25,toluene,HNO3,0.4,294.15,10,min,
Am(III),4.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TOPO,0.25,toluene,HNO3,0.6,294.15,10,min,
Am(III),0.8,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TOPO,0.25,toluene,HNO3,1.0,294.15,10,min,
Eu(III),5.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TOPO,0.25,toluene,HNO3,0.2,294.15,10,min,
Eu(III),0.6,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TOPO,0.25,toluene,HNO3,0.4,294.15,10,min,
Eu(III),0.2,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TOPO,0.25,toluene,HNO3,0.6,294.15,10,min,
Eu(III),0.08,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TOPO,0.25,toluene,HNO3,1.0,294.15,10,min,
