sample,SF,extractant,abbreviation,[extracant]_M,org_ligand,[org_ligand]_M,organic_diluent,acid,[acid]_M,T_K,contact_time,contact_time_units,additional_info
Am/Eu,31.2,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.2,294.15,10,min,
Am/Eu,28.1,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TBP,0.25,toluene,HNO3,0.4,294.15,10,min,
Am/Eu,27.9,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TOPO,0.25,toluene,HNO3,0.2,294.15,10,min,
Am/Eu,25.1,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TOPO,0.25,toluene,HNO3,0.4,294.15,10,min,
Am/Eu,182.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,,,toluene,HNO3,0.4,294.15,10,min,
Am/Eu,6.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.25,TOPO,0.25,toluene,HNO3,0.4,294.15,10,min,
Am/Eu,27.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.5,TOPO,0.25,toluene,HNO3,0.4,294.15,10,min,
Am/Eu,53.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.75,TOPO,0.25,toluene,HNO3,0.4,294.15,10,min,
Am/Eu,88.0,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,1.0,TOPO,0.25,toluene,HNO3,0.4,294.15,10,min,
Am(III)/Cm(III),13.33,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.053,,15,min,0.25M NaNO3
Am(III)/Cm(III),10.78,bis(chlorophenyl)dithiophosphinic acid,(ClPh)2PSSH,0.4,TEHP,0.15,"tert-butyl benzene/iso-octane, 20%",HNO3,0.078,,15,min,0.25M NaNO3
