(1) 1-Hexanol;C6H14O⁠; [111-27-3],"4L. Erichsen, Brennst.-Chem.33, 166 (1952).",,,,
(2) Water;H2O⁠; [7732-18-5],"6H. Fühner, Ber. Dtsch. Chem. Ges.57, 510 (1924).",,,,
,,,"24D. J. Donahue and F. E. Bartell, J. Phys. Chem.56, 480 (1952).",,
,,,"37K. Kinoshita, H. Ishikawa, and K. Shinoda, Bull. Chem. Soc. Jpn.31, 1081 (1958).",,
,,,"89R. Stephenson, J. Stuart, and M. Tabak, J. Chem. Eng. Data29, 287 (1984)",,
,,,"126C. A. Chandy and M. R. Rao, J. Chem. Eng. Data7, 473 1962).",,
,,,"127M. A. Fahim, S. A. Al-Muhtaseb, and I. M. Al-Nashef, J. Chem. Eng. Data42, 183 (1997).",,
,,,"128D. J. T. Hill and L. R. White, Aust. J. Chem.27, 1905 (1974).",,
,,,"129H.-M. Lin, G.-B. Hong, C.-E. Yeh, and M.-J. Lee, J. Chem. Eng. Data48, 587 (2003).",,
,,,"130V. P. Sazonov, N. P. Markuzin, and V. V. Filippov, Zh. Prikl. Khim. (Leningrad)49, 784 (1976).",,
Reference liquid–liquid equilibrium data,,,,,
Water rich phase,Alcohol rich phase,,,,
T(K),"x1,exp","x1,calc",T(K),"x2,exp","x2,calc"
273.15,0.0014,0.00148,273.15,0.283 ,0.283
278.66,0.0014,0.00133,283.15,0.280 ,0.288
280.00,0.00136,0.0013000000000000002,283.35,0.289 ,0.288
283.15,0.0012,0.00124,293.15,0.293 ,0.295
284.15,0.00125,0.00122,298.15,0.288 ,0.299
286.09,0.00121,0.0011899999999999999,302.85,0.297 ,0.303
287.83,0.00118,0.00116,303.15,0.299 ,0.303
290.19,0.00114,0.00113,308.15,0.305 ,0.308
293.15,0.0011,0.0011,312.95,0.312 ,0.313
296.14,0.0010600000000000002,0.0010600000000000002,313.15,0.289 ,0.313
298.15,0.0010600000000000002,0.0010500000000000002,323.15,0.318 ,0.325
300.14,0.00102,0.00103,333.15,0.334 ,0.338
302.85,0.001,0.00101,343.15,0.354 ,0.352
304.07,0.000999,0.00101,343.45,0.351 ,0.353
306.24,0.000985,0.0009960000000000001,353.15,0.377 ,0.369
308.00,0.0009000000000000001,0.000989,353.45,0.365 ,0.369
312.95,0.0009000000000000001,0.000974,363.15,0.398 ,0.386
313.10,0.001,0.000974,363.45,0.374 ,0.387
318.00,0.0009000000000000001,0.000968,373.15,0.419 ,0.406
323.15,0.00091,0.0009699999999999999,383.15,0.442 ,0.426
333.15,0.0009400000000000001,0.000997,393.15,0.465 ,0.449
343.15,0.001,0.0010500000000000002,403.15,0.490 ,0.474
353.15,0.0011,0.00114,413.15,0.516 ,0.501
353.45,0.0011,0.00114,423.15,0.546 ,0.530
363.15,0.00121,0.00126,433.15,0.576 ,0.562
373.15,0.0014,0.00142,443.15,0.608 ,0.597
383.15,0.0016,0.00163,453.15,0.647 ,0.637
393.15,0.0019,0.00191,463.15,0.690 ,0.682
403.15,0.0021000000000000003,0.00226,473.15,0.740 ,0.736
443.15,0.005,0.00525,483.15,0.799 ,0.803
453.15,0.0066,0.00683,493.15,0.876 ,0.888
463.15,0.009000000000000001,0.00918,,,
473.15,0.0128,0.0129,,,
483.15,0.0189,0.0193,,,
493.15,0.0342,0.0319,,,
