(1) 1-Pentanol;C5H12O⁠; [71-41-0],"44L. Erichsen, Brennst.-Chem.33, 166 (1952).",,,,
(2) Water;H2O⁠; [7732-18-5],"24D. J. Donahue and F. E. Bartell, J. Phys. Chem.56, 480 (1952).",,,,
,,"32P. Huyskens, J. Mullens, A. Gomez, and J. Tack, Bull. Soc. Chim. Belg.84, 253 (1975).",,,
,,"40O. A. Lavrova and T. M. Lesteva, Zh. Fiz. Khim.50, 1617 (1976).",,,
,,"70S. Tokunaga, M. Manabe, and M. Koda, Mem. Niihama Technical College, Sci. Eng.16, 96 (1980).",,,
,,"72R. Vochten and G. Petre, J. Colloid Interface Sci.42, 320 (1973).",,,
,,"80M. M. Duarte, J. Lozar, G. Malmary, and J. Molinier, J. Chem. Eng. Data34, 43 (1989).",,,
,,"88P. M. Ginnings and R. Baum, J. Am. Chem. Soc.59, 1111 (1937)",,,
,,"89R. Stephenson, J. Stuart, and M. Tabak, J. Chem. Eng. Data29, 287 (1984).",,,
,,"97C. C. Addison, J. Chem. Soc.194598 (1945).",,,
,,"104J. C. Asensi, J. Molto, M. del Mar Olaya, F. Ruiz, and V. Gomis, Fluid Phase Equilib.200, 287 (2002).",,,
,,"105B. K. Evans, K. C. James, and D. K. Luscombe, J. Pharm. Sci.67, 277 (1978).",,,
,,"106M. J. Fernandez, V. Gomis, M. Ramos, and F. Ruiz, J. Chem. Eng. Data45, 1053 (2000).",,,
,,"107M. J. Fernandez-Torres, V. Gomis-Yaguees, M. Ramos-Nofuentes, and F. Ruiz-Bevia, Fluid Phase Equilib.164, 267 (1999).",,,
,,"108I. K. J. J. Jasper, L. G. Farrell, and M. Madoff, J. Chem. Educ.21, 536 (1944).",,,
,,"109K. S. Krasnov and L. A. Gartseva, Izv. Vyssh. Uchebn. Zaved., Khim. Khim. Tekhnol.13, 952 (1970).",,,
,,"110D. F. Othmer, R. E. White, and E. Trueger, Ind. Eng. Chem.33, 1240 (1941).",,,
,,"111Y.-H. Pai and L.-J. Chen, Fluid Phase Equilib.155, 95 (1999).",,,
,,"112A. A. Sayar, J. Chem. Eng. Data36, 61 (1991).",,,
,,"113J. Verschaffelt, J. Phys. Chem.15, 437 (1894).",,,
,,"114I. K. Zhuravleva and E. F. Zhuravlev, Izv. Vyssh. Uchebn. Zaved., Khim. Khim. Tekhnol.13, 480 (1970).",,,
Reference liquid-liquid equilibrium data,,,,,
Water rich phase,Alcohol rich phase,,,,
T(K),"x1,exp","X1,calc",T(K),"x2,exp","x2,calc"
273.15,0.007,0.0067800000000000004,273.15,0.340 ,0.351
283.15,0.0055,0.00551,283.15,0.339 ,0.349
283.35,0.0054,0.00549,283.35,0.346 ,0.349
288.20,0.0048,0.005110000000000001,285.15,0.357 ,0.349
293.15,0.0046,0.00472,288.15,0.362 ,0.350
293.35,0.0047,0.00471,292.10,0.348 ,0.352
298.15,0.0045000000000000005,0.00444,293.15,0.347 ,0.353
303.15,0.00421,0.00423,293.35,0.358 ,0.353
303.75,0.004200000000000001,0.00421,298.15,0.357 ,0.356
310.20,0.0039,0.004019999999999999,298.70,0.355 ,0.357
313.15,0.0039,0.00394,302.15,0.352 ,0.359
313.35,0.0039,0.00394,303.15,0.369 ,0.360
323.15,0.0038,0.0038,303.75,0.366 ,0.361
333.15,0.0036000000000000003,0.00379,305.15,0.352 ,0.362
333.45,0.0038,0.00379,308.15,0.377 ,0.365
343.15,0.004,0.0038799999999999998,309.15,0.357 ,0.366
353.15,0.0040999999999999995,0.00408,313.15,0.365 ,0.371
358.15,0.004200000000000001,0.00422,313.35,0.379 ,0.371
363.15,0.0040999999999999995,0.00439,314.65,0.370 ,0.372
363.85,0.0046,0.00441,323.15,0.384 ,0.383
367.15,0.004200000000000001,0.00455,323.20,0.384 ,0.383
368.15,0.004200000000000001,0.00459,329.15,0.389 ,0.391
373.15,0.0047,0.00483,333.15,0.391 ,0.397
383.15,0.0054,0.00542,339.15,0.409 ,0.407
393.15,0.0063,0.006240000000000001,343.15,0.404 ,0.414
403.15,0.0075,0.00735,346.65,0.422 ,0.420
413.15,0.0092,0.00891,353.15,0.422 ,0.432
423.15,0.011399999999999999,0.011200000000000002,358.15,0.400 ,0.442
433.15,0.0149,0.0149,359.65,0.452 ,0.445
443.15,0.0211,0.0211,363.15,0.450 ,0.452
,,,363.85,0.463 ,0.454
,,,368.15,0.435 ,0.463
,,,368.45,0.519 ,0.464
,,,368.95,0.421 ,0.465
,,,373.15,0.480 ,0.475
,,,383.15,0.511 ,0.500
,,,393.15,0.544 ,0.529
,,,403.15,0.578 ,0.561
,,,413.15,0.615 ,0.598
,,,423.15,0.655 ,0.640
,,,433.15,0.697 ,0.689
,,,443.15,0.745 ,0.746
