Name,"T2,min","lnx2,min",C2,D2,α2,T2c
1-Butanol,270.0,−0.702,6.082,0.126,−30,398.0
2-Methyl-1-propanol,220.0,−0.968,4.136,0.140,−30,406.3
"2,2-Dimethyl-1-propanol",94.8,−1.978,2.05,,,
2-Methyl-1-butanol,181.4,−1.450,3.39,,,
3-Methyl-1-butanol,194.5,−1.396,3.70,,,
1-Pentanol,280,0.349,3.293,0.207,−20,459.8
2-Ethyl-1-butanol,177.6,−2.020,4.35,,,
1-Hexanol,254.6,−1.277,5.780,0.120,−20,490.5
2-Methyl-1-pentanol,177.1,−1.955,4.23,,,
"2,2-Dimethyl-1-butanol",177.1,−2.018,4.36,,,
1-Heptanol,258.3,−1.393,5.830,0.133,−40,517.7
2-Ethyl-1-hexanol,233.6,−2.068,6.55,,,
1-Octanol,277.2,−1.359,6.250,0.647,−50,545.0
1-Nonanol,284.5,−1.385,6.10,,,
1-Decanol,290.8,−1.399,6.11,,,
1-Undecanol,296.2,−1.411,5.92,,,
1-Dodecanol,301.2,−1.411,5.86,,,
1-Tetradecanol,308.4,−1.406,5.66,,,
1-Hexadecanol,311.6,−1.395,5.65,,,
