group,a11_mu2,a12_alpha,a2
CH3,0.000e+00,4.124e-10,0.000e+00
CH2,0.000e+00,3.296e+00,0.000e+00
>CH,0.000e+00,5.850e+00,0.000e+00
>C<,0.000e+00,1.621e+00,0.000e+00
dCH2,0.000e+00,3.645e-10,0.000e+00
dCH,0.000e+00,2.995e+00,0.000e+00
dC<,0.000e+00,9.252e+00,0.000e+00
tC,0.000e+00,0.000e+00,0.000e+00
tCH,0.000e+00,0.000e+00,0.000e+00
CH_arom,0.000e+00,2.706e+00,0.000e+00
C_arom,0.000e+00,4.119e+00,0.000e+00
CH2_pent,0.000e+00,0.000e+00,0.000e+00
CH_pent,0.000e+00,0.000e+00,0.000e+00
CH2_hex,0.000e+00,1.815e+00,0.000e+00
CH_hex,0.000e+00,4.144e+00,0.000e+00
CHdO,7.353e+00,0.000e+00,8.883e-11
>CdO,9.203e+00,0.000e+00,2.149e-01
O,0.000e+00,0.000e+00,0.000e+00
HCOO,0.000e+00,0.000e+00,0.000e+00
COO,4.274e+00,0.000e+00,4.930e-01
OH_1,7.568e+00,0.000e+00,1.550e-01
OH_2,0.000e+00,0.000e+00,0.000e+00
OH_3,0.000e+00,0.000e+00,0.000e+00
NH2,2.275e+00,0.000e+00,5.217e-09
NH,1.580e+00,0.000e+00,0.000e+00
>N,1.170e+00,0.000e+00,0.000e+00
N_arom,5.630e+00,0.000e+00,3.300e-01
NH_cyc,8.020e-01,0.000e+00,1.000e-03
F_1,0.000e+00,0.000e+00,0.000e+00
F_2,0.000e+00,0.000e+00,0.000e+00
F_3,0.000e+00,0.000e+00,0.000e+00
F_4,0.000e+00,0.000e+00,0.000e+00
Cl_1,0.000e+00,0.000e+00,0.000e+00
Cl_2,0.000e+00,0.000e+00,0.000e+00
Cl_3,0.000e+00,0.000e+00,0.000e+00
Cl_4,0.000e+00,0.000e+00,0.000e+00
CH4,0.000e+00,0.000e+00,0.000e+00
C2H6,0.000e+00,0.000e+00,0.000e+00
C2H4,0.000e+00,0.000e+00,0.000e+00
C2H2,0.000e+00,0.000e+00,0.000e+00
CH2dO,0.000e+00,0.000e+00,0.000e+00
CH3OH,5.260e+00,2.800e-01,4.000e-02
CH3NH2,2.980e+00,3.000e-02,1.700e-02
CO2,0.000e+00,0.000e+00,0.000e+00
H2O,3.630e+00,1.010e-01,0.000e+00
