main_group,main_group_id,subgroup,subgroup_id
CH2,1,CH3,1
CH2,1,CH2,2
CH2,1,CH,3
CH2,1,C,4
C=C,2,CH2=CH,5
C=C,2,CH=CH,6
C=C,2,CH2=C,7
C=C,2,CH=C,8
ACH,3,ACH,9
ACH,3,AC,10
ACCH2,4,ACCH3,11
ACCH2,4,ACCH2,12
ACCH2,4,ACCH,13
OH,5,OHp,214
OH,5,OHs,215
OH,5,OHt,216
CH3OH,6,CH3OH,15
H2O,7,H2O,16
ACOH,8,ACOH,17
CH2CO,9,CH3CO,18
CH2CO,9,CH2CO,19
HCO,10,HCO,20
CCOO,11,CH3COO,21
CCOO,11,CH2COO,22
HCOO,12,HCOO,23
CH2O,13,CH3O,24
CH2O,13,CH2O,25
CH2O,13,CHO,26
CH2O,13,THF,27
CH2O,13,CO,227
CNH2,14,CH3NH2,28
CNH2,14,CH2NH2,29
CNH2,14,CHNH2,30
CNH,15,CH3NH,31
CNH,15,CH2NH,32
CNH,15,CHNH,33
(C)3N,16,CH3N,34
(C)3N,16,CH2N,35
ACNH2,17,ACNH2,36
PYRIDINE,18,C5H5N,37
CCN,19,CH3CN,40
CCN,19,CH2CN,41
COOH,20,COOH,42
COOH,20,HCOOH,43
CCL,21,CH2CL,44
CCL,21,CHCL,45
CCL,21,CCL,46
CCL2,22,CH2CL2,47
CCL2,22,CHCL2,48
CCL2,22,CCL2,49
CCL3,23,CHCL3,50
CCL3,23,CCL3,51
CCL4,24,CCL4,52
ACCL,25,ACCL,53
CNO2,26,CH3NO2,54
CNO2,26,CH2NO2,55
CNO2,26,CHNO2,56
ACNO2,27,ACNO2,57
CS2,28,CS2,58
CH3SH,29,CH3SH,59
CH3SH,29,CH2SH,60
FURFURAL,30,FURFURAL,61
DOH,31,DOH,62
I,32,I,63
BR,33,BR,64
C=-C,34,CH=-C,65
C=-C,34,C=-C,66
DMSO,35,DMSO,67
ACRY,36,ACRY,68
CLCC,37,CL-(C=C),69
C=C,2,C=C,70
ACF,38,ACF,71
DMF,39,DMF,72
DMF,39,HCON(CH2)2,73
CF2,40,CF3,74
CF2,40,CF2,75
CF2,40,CF,76
COO,41,COO,77
SIH2,42,SIH3,78
SIH2,42,SIH2,79
SIH2,42,SIH,80
SIH2,42,SI,81
SIO,43,SIH2O,82
SIO,43,SIHO,83
SIO,43,SIO,84
NMP,44,NMP,85
CCLF,45,CCL3F,86
CCLF,45,CCL2F,87
CCLF,45,HCCL2F,88
CCLF,45,HCCLF,89
CCLF,45,CCLF2,90
CCLF,45,HCCLF2,91
CCLF,45,CCLF3,92
CCLF,45,CCL2F2,93
CON(AM),46,AMH2,94
CON(AM),46,AMHCH3,95
CON(AM),46,AMHCH2,96
CON(AM),46,AM(CH3)2,97
CON(AM),46,AMCH3CH2,98
CON(AM),46,AM(CH2)2,99
OCCOH,47,C2H5O2,100
OCCOH,47,C2H4O2,101
CH2S,48,CH3S,102
CH2S,48,CH2S,103
CH2S,48,CHS,104
MORPH,49,MORPH,105
THIOPHEN,50,C4H4S,106
NCO,51,NCO,109
SULFONES,55,(CH2)2SU,118
SULFONES,55,CH2CHSU,119
IMIDAZOL,84,IMIDAZOL,178
BTI,85,BTI,179
CON(AM),46,AMHCH,180
CON(AM),46,AM(CH)2,181
CON(AM),46,AMCHCH2,182
CON(AM),46,AMCHCH3,183
cy-CH2,100,cy-CH2,185
cy-CH2,100,cy-CH,186
ACS,102,AC2H2S,187
[Im],200,[MIm (a)],345
[Im],200,[Im],347
[Py],201,[Mpy],348
[Py],201,[Py],349
[Pyr],202,[Mpyr],350
[Pyr],202,[Pyr],351
[Pip],203,[Mpip],352
[Pip],203,[Pip],353
[Mmor],204,[Mmor],354
[Quin],205,[Quin],355
[CH3N],206,[CH3N],356
[CH3P],207,[CH3P],360
[CH3S],208,[CH3S],365
[CL],209,[CL],369
[BR],210,[BR],370
[BF4],211,[BF4],371
[PF6],212,[PF6],372
[NO3],213,[NO3],377
[CLO4],214,[CLO4],378
[HSO4],215,[HSO4],381
[CH3SO4],216,[MeSO4],384
[C2H5SO4],217,[EtSO4],385
[SCN],218,[SCN],391
[N(CN)2],219,[N(CN)2],392
[C(CN)3],220,[C(CN)3],393
[B(CN)4],221,[B(CN)4],394
[Tf2N],222,[Tf2N],398
