main_group,main_group_id,subgroup,subgroup_id,R,Q,IL_R,IL_Q,bonds,atoms,smarts,contribute,composed
CH2,1,CH3,1,0.9011,0.848,0.6325,1.0608,,"{'C': 1, 'H': 3}",[CH3;!$([CH3][CH3]);!$([CH3][OH]);!$([CH3][NH2])],"{""CH3"": 1}",n
CH2,1,CH2,2,0.6744,0.54,0.6325,0.7081,,"{'C': 1, 'H': 2}",[CX4H2;!R],"{""CH2"": 1}",n
CH2,1,CH,3,0.4469,0.228,0.6325,0.3554,,"{'C': 1, 'H': 1}",[CX4H1;!R],"{""CH"": 1}",n
CH2,1,C,4,0.2195,0.0,0.6325,0.0,,"{'C': 1, 'H': 0}",[CX4H0;!R],"{""C"": 1}",n
[Im],200,[MIm (a)],345,,,2.8482,1.714,"{'aromatic': 5, 'single': 1}","{'C': 4, 'N': 2, 'H': 7}",[CH3][n+]1cc[nH]c1,"{""[MIm (a)]"": 1, ""[Im]"": -1, ""CH3"": -1}",n
[Im],200,[Im],347,,,1.9471,0.866,{'aromatic': 5},"{'C': 3, 'N': 2, 'H': 3}",[c]1:[c]:[n]:[c]:[n]:1,"{""[Im]"": 1}",n
[Py],201,[Mpy],348,,,3.5681,2.401,"{'aromatic': 6, 'single': 1}","{'N': 1, 'C': 6, 'H': 8}",C[n+]1(ccccc1),"{""[MPy]"": 1, ""[Py]"": -1, ""CH3"": -1}",n
[Py],201,[Py],349,,,2.667,1.553,"{'aromatic': 6}","{'N': 1, 'C': 5, 'H': 5}",[n+]1(ccccc1),"{""[Py]"": 1}",n
[Pyr],202,[Mpyr],350,,,3.3873,2.9098,"{'single': 6}","{'N': 1, 'C': 5, 'H': 11}",[N+]1(C)CCCC1,"{""[MPyr]"": 1, ""[Pyr]"": -1, ""CH3"": -1}",n
[Pyr],202,[Pyr],351,,,2.4862,2.0618,"{'single': 5}","{'N': 1, 'C': 4, 'H': 8}",[N+]1CCCC1,"{""[Pyr]"": 1}",n
[Pip],203,[Mpip],352,,,3.8449,3.2759,"{'single': 7}","{'N': 1, 'C': 6, 'H': 13}",C[N+]1CCCCC1,"{""[Mpip]"": 1, ""[pip]"": -1, ""CH3"": -1}",n
[Pip],203,[Pip],353,,,2.9438,2.4279,"{'single': 6}","{'N': 1, 'C': 5, 'H': 10}",[N+]1CCCCC1,"{""[pip]"": 1}",n
[Mmor],204,[Mmor],354,,,3.4815,2.9852,"{'single': 7}","{'N': 1, 'C': 5, 'O': 1, 'H': 12}",CN1CCOCC1,"{""[Mmor]"": 1}",n
[Quin],205,[Quin],355,,,7.3908,6.1126,"{'aromatic': 11}","{'C': 9, 'N': 1, 'H': 7}",c1ccc2ncccc2c1,"{""[Quin]"": 1}",n
[CH3N],206,[CH3N],356,,,1.1865,0.94,"{'single': 1}","{'C': 1, 'N': 1, 'H': 3}",[CX4;H3][N],"{""[CH3N]"": 1, ""CH3"": -1}",n
[CH3P],207,[CH3P],360,,,1.4931,0.9197,"{'single': 1}","{'C': 1, 'P': 1, 'H': 3}",[CX4;H3][P],"{""[CH3P]"": 1}",n
[CH3S],208,[CH3S],365,,,1.724,1.4567,"{'single': 1}","{'C': 1, 'S': 1, 'H': 3}",[CX4;H3][S],"{""[CH3S]"": 1}",n
[CL],209,[CL],369,,,0.766,0.72,,"{""Cl"": 1}",[Cl-],"{""[CL]"": 1}",n
[BR],210,[BR],370,,,0.9492,0.832,,"{""Br"": 1}",[Br-],"{""[BR]"": 1}",n
[BF4],211,[BF4],371,,,1.7856,1.494,"{'single': 4}","{'B': 1, 'F': 4}",[B-](F)(F)(F)(F),"{""[BF4]"": 1}",n
