main_group,main_group_id,subgroup,subgroup_id,R,Q,IL_R,IL_Q,bonds,atoms,smarts,contribute,composed
CH2,1,CH3,1,0.9011,0.848,0.6325,1.0608,,"{'C': 1, 'H': 3}",[CH3;!$([CH3][CH3]);!$([CH3][OH]);!$([CH3][NH2])],"{""CH3"": 1}",n
CH2,1,CH2,2,0.6744,0.54,0.6325,0.7081,,"{'C': 1, 'H': 2}",[CX4H2],"{""CH2"": 1}",n
CH2,1,CH,3,0.4469,0.228,0.6325,0.3554,,"{'C': 1, 'H': 1}",[CX4H1],"{""CH"": 1}",n
CH2,1,C,4,0.2195,0.0,0.6325,0.0,,"{'C': 1, 'H': 0}",[CX4H0],"{""C"": 1}",n
C=C,2,CH2=CH,5,1.3454,1.176,1.2832,1.6016,{'double': 1},"{'C': 2, 'H': 3}",[CX3;H2]=[CX3;H1],"{""CH2=CH"": 1}",n
C=C,2,CH=CH,6,1.1167,0.867,1.2832,1.2489,{'double': 1},"{'C': 2, 'H': 2}",[CX3;H1]=[CX3;H1],"{""CH=CH"": 1}",n
C=C,2,CH2=C,7,1.1173,0.988,1.2832,1.2489,{'double': 1},"{'C': 2, 'H': 2}",[CX3;H2]=[CX3;H0],"{""CH2=C"": 1}",n
C=C,2,CH=C,8,0.8886,0.676,1.2832,0.8962,{'double': 1},"{'C': 2, 'H': 1}",[CX3;H1]=[CX3;H0],"{""CH=C"": 1}",n
ACH,3,ACH,9,0.5313,0.4,0.3763,0.4321,{'aromatic': 1},"{'C': 1, 'H': 1}",[cH1;R],"{""ACH"": 1}",n
ACH,3,AC,10,0.3652,0.12,0.3763,0.2113,{'aromatic': 1},{'C': 1},[cH0;R],"{""AC"": 1}",n
ACCH2,4,ACCH3,11,1.2663,0.968,0.91,0.949,"{'aromatic': 1, 'single': 1}","{'C': 2, 'H': 3}",[cH0;R][CX4;H3],"{""ACCH3"": 1, ""CH3"": -1, ""AC"": -1}",n
ACCH2,4,ACCH2,12,1.0396,0.66,0.91,0.7962,"{'aromatic': 1, 'single': 1}","{'C': 2, 'H': 2}",[cH0;R][CX4;H2],"{""ACCH2"": 1, ""CH2"": -1, ""AC"": -1}",y
ACCH2,4,ACCH,13,0.8121,0.348,0.91,0.3769,"{'aromatic': 1, 'single': 1}","{'C': 2, 'H': 1}",[cH0;R][CX4;H1],"{""ACCH"": 1, ""CH"": -1, ""AC"": -1}",y
OH,5,OHp,214,1.0,1.2,1.2302,0.8927,,"{'O': 1, 'H': 1}",[$([OH][CX4H2])],"{""OHp"": 1, ""CH2"":-1}",n
OH,5,OHs,215,,,1.063,0.8663,,"{'O': 1, 'H': 1}",[$([OH][CX4H1])],"{""OHs"": 1, ""CH"":-1}",n
OH,5,OHt,216,,,0.6895,0.8345,,"{'O': 1, 'H': 1}",[$([OH][CX4H0])],"{""OHt"": 1, ""C"":-1}",n
CH3OH,6,CH3OH,15,1.4311,1.432,0.8585,0.9938,,"{'C': 1, 'O': 1, 'H': 4}",[CX4;H3][OX2;H1],"{""CH3OH"": 1, ""CH3"": -1, ""OH"": -1}",n
H2O,7,H2O,16,0.92,1.4,1.7334,2.4561,,"{'H': 2, 'O': 1}",[OX2;H2],"{""H2O"": 1}",n
ACOH,8,ACOH,17,0.8952,0.68,,,{'aromatic': 1},"{'C': 1, 'O': 1, 'H': 1}",[cH0;R][OX2;H1],"{""ACOH"": 1, ""OH"": -1, ""AC"": -1}",y
CH2CO,9,CH3CO,18,1.6724,1.488,1.5099,1.5352,{'double': 1},"{'C': 2, 'H': 3, 'O': 1}",[CX4;H3][CX3](=O),"{""CH3CO"": 1, ""CH3"" : -1}",n
CH2CO,9,CH2CO,19,1.4457,1.18,1.5652,1.4339,{'double': 1},"{'C': 2, 'H': 2, 'O': 1}",[CX4;H2][CX3](=O),"{""CH2CO"": 1, ""CH2"": -1}",n
HCO,10,HCO,20,0.998,0.948,0.7173,0.771,{'double': 1},"{'C': 1, 'H': 1, 'O': 1}",[CX3H1](=O),"{""HCO"": 1}",n
CCOO,11,CH3COO,21,1.9031,1.728,1.27,1.6286,"{'double': 1, 'single': 2}","{'C': 2, 'H': 3, 'O': 2}",[CH3][CX3;H0](=[O])[O],"{""CH3COO"": 1, ""CH3"": -1, ""COO"": -1}",y
CCOO,11,CH2COO,22,1.6764,1.42,1.27,1.4228,"{'double': 1, 'single': 2}","{'C': 2, 'H': 2, 'O': 2}",[CX4;H2][CX3](=[OX1])[OX2],"{""CH2COO"": 1, ""CH2"": -1, ""COO"": -1}",y
HCOO,12,HCOO,23,1.242,1.188,,,"{'double': 1, 'single': 1}","{'C': 1, 'H': 1, 'O': 2}",[CX3;H1](=[OX1])[OX2],"{""HCOO"": 1, ""COO"": -1}",n
CH2O,13,CH3O,24,1.145,1.088,1.1434,1.6022,{'single': 1},"{'C': 1, 'H': 3, 'O': 1}",[CH3][O][CH2],"{""CH3O"": 1, ""CH2"": -1, ""CH3"": -1}",n
CH2O,13,CH2O,25,0.9183,0.78,1.1434,1.2495,{'single': 1},"{'C': 1, 'H': 2, 'O': 1}",[CH2][O][CH2],"{""CH2O"": 1, ""CH2"": -2}",n
CH2O,13,CHO,26,0.6908,0.468,1.1434,0.8968,{'single': 1},"{'C': 1, 'H': 1, 'O': 1}",[C;H1][O],"{""CHO"": 1, ""CH"": -1}",n
CH2O,13,THF,27,0.9183,1.1,1.7023,1.8784,{'single': 1},"{'O': 1, 'C': 1, 'H': 2}",[CX4;H2;R][OX2;R][CX4;H2;R],"{""THF"": 1, ""CH2O"": -1}",n
CH2O,13,CO,227,,,0.4634,0.24,{'single': 1},"{'C': 1, 'O': 1}",[C;H0][O],"{""CO"": 1, ""C"": -1}",n
CNH2,14,CH3NH2,28,1.5959,1.544,,,{'single': 1},"{'N': 1, 'C': 1, 'H': 5}",[CX4;H3][NX3;H2],"{""CH3NH2"": 1, ""CH3"": -1}",n
CNH2,14,CH2NH2,29,1.3692,1.236,,,{'single': 1},"{'N': 1, 'C': 1, 'H': 4}",[CX4;H2][NX3;H2],"{""CH2NH2"": 1, ""CH2"": -1}",n
CNH2,14,CHNH2,30,1.1417,0.924,,,{'single': 1},"{'N': 1, 'C': 1, 'H': 3}",[CX4;H1][NX3;H2],"{""CHNH2"": 1, ""CH"": -1}",n
